transfermarktLeagueID,transfermarktLeagueURL
WMQ4,https://www.transfermarkt.com/wm-qualifikation-sudamerika/startseite/pokalwettbewerb/WMQ4
SFAL,https://www.transfermarkt.com/mtn8/startseite/wettbewerb/SFAL
POCP,https://www.transfermarkt.com/allianz-cup/startseite/wettbewerb/POCP
FRL,https://www.transfermarkt.com/coupe-de-la-ligue/startseite/wettbewerb/FRL
INPP,https://www.transfermarkt.com/indonesia-presidents-cup/startseite/wettbewerb/INPP
INSC,https://www.transfermarkt.com/hero-super-cup/startseite/wettbewerb/INSC
JEMP,https://www.transfermarkt.com/emperors-cup/startseite/wettbewerb/JEMP
AM19,https://www.transfermarkt.com/afc-asian-cup-2019/startseite/pokalwettbewerb/AM19
WM22,https://www.transfermarkt.com/weltmeisterschaft-2022/startseite/pokalwettbewerb/WM22
EM20,https://www.transfermarkt.com/europameisterschaft-2020/startseite/pokalwettbewerb/EM20
